"","cases_19under","pop_19under","temp_mean","precip_mean","X_COORD","Y_COORD","tempxprecip","log_pop_19under"
"1",0,1808,24.1207552823153,180.724305586381,1349187.86557015,1558496.12298788,4359.20674861548,7.49997654095212
"2",0,882,24.2508807182312,134.442071437836,1273030.12515331,1476351.38927633,3260.33863795087,6.78219205600679
"3",0,763,24.7360191345215,136.74492754255,1285768.24402033,1482759.97854677,3382.52514424128,6.63725803128446
"4",0,1544,24.9094609347257,135.580257068981,1278776.59045662,1466218.51271578,3377.23111697984,7.34213173058472
"5",0,6089,25.1104619979858,119.063150787354,1269137.24318833,1456352.71045904,2989.7307232063,8.71423914360857
"6",0,338,25.3893412772041,120.053665161133,1277074.88383936,1451428.00143913,3048.08347635519,5.82304589548302
"7",0,1526,25.31733751297,119.302854537964,1281362.573904,1448802.91439337,3020.43063459839,7.3304052118444
"8",2,4277,25.0017198181152,133.833998413086,1257226.36776542,1458455.09108623,3346.08013046205,8.36100710822691
"9",0,759,24.980475561927,131.807544582252,1263662.46415458,1460929.41001689,3292.61514631456,6.63200177739563
"10",0,472,24.4958277615634,154.396075855602,1257916.37635746,1476543.15337846,3782.0596812201,6.15697898558556
"11",0,12080,24.7655338287354,155.404699707031,1309577.92559374,1514607.71022065,3848.68034773894,9.39930647148881
"12",0,7327,24.8839700872248,152.703815806996,1306150.37944808,1503067.27971464,3799.87718474637,8.89932143415996
"13",0,1558,19.1601231314919,150.361819874157,1256772.74128534,1552313.66349193,2880.95098306405,7.35115822643069
"14",0,392,20.3895645141602,209.309387207031,1270284.48171708,1549543.91166457,4267.72725387709,5.97126183979046
"15",0,126,24.078550974528,181.116780598958,1305886.28051392,1545825.15944263,4361.02963399442,4.83628190695148
"16",0,9547,19.9415770212809,170.53171081543,1274027.62703728,1559278.62033798,3400.6712457967,9.16398224799803
"17",0,55,22.7978170394897,193.571318054199,1269369.41757694,1534849.66287604,4413.00349309251,4.00733318523247
"18",0,3165,24.2068956375122,148.709265136719,1292899.38100869,1499698.55155599,3599.78966149568,8.05990833457828
"19",0,342,20.4859490828081,133.960862593217,1269008.7958538,1586680.25370979,2744.3154101737,5.8348107370626
"20",0,124,19.4241288491457,176.354331706799,1252046.67416974,1533994.05505746,3425.52926217785,4.82028156560504
"21",0,362,20.5142030715942,145.697499593099,1292451.21480766,1592573.23232123,2988.86809367635,5.89164421182577
"22",0,481,21.3659637451172,180.088265991211,1285710.26762696,1560318.57633328,3847.75936208923,6.17586727010576
"23",0,200,24.4889553858521,178.092458743778,1285019.64040484,1509376.59794091,4361.29827673309,5.29831736654804
"24",0,1969,23.8458620071411,173.846133422852,1343494.03177712,1580716.01778332,4145.51090807636,7.58528107863913
"25",0,318,20.0049705505371,135.880667114258,1247529.16510805,1552966.12374813,2718.28874400806,5.76205138278018
"26",0,308,21.1593940734863,141.398599243164,1327651.34043856,1603392.7894962,2991.90868282507,5.73009978297357
"27",0,249,23.591285943985,187.679039001465,1296010.08376031,1551800.83209695,4427.58987477587,5.51745289646471
"28",0,454,20.2507861455282,166.347943623861,1285313.33517414,1569739.90376819,3368.67663207518,6.11809719804135
"29",0,120,20.6931285858154,147.153447469076,1325423.26978027,1594181.09837992,3045.06521032362,4.78749174278205
"30",0,161,24.5461050936985,146.372618230214,1270343.67240894,1503644.14859994,3592.87766991865,5.08140436498446
"31",0,4518,24.6462256908417,154.904142379761,1300411.56748474,1519395.76357361,3817.80245353786,8.41582469702795
"32",0,489,20.65256690979,127.306922912598,1288892.17287989,1599718.91978813,2629.21474353191,6.19236248947487
"33",0,875,22.7567274570465,147.194772720337,1317600.43473615,1579350.07266655,3349.67132589861,6.77422388635761
"34",0,277,24.8363451066429,156.178017424583,1302348.64716461,1507228.85998099,3878.89113882824,5.62401750618734
"35",0,3135,24.3798173268636,159.843495686849,1295092.63451829,1520433.26138464,3896.95522573269,8.05038445306702
"36",0,929,20.326583480835,160.594500732422,1291653.68053275,1583326.37856084,3264.33752570058,6.83410873881384
"37",0,1120,23.9854007720947,175.944100952148,1346738.8811301,1571676.35579813,4220.08977482317,7.02108396428914
"38",0,822,20.365870475769,139.341952514648,1278333.47591482,1595555.74605627,2837.82015675409,6.71174039505618
"39",0,123,20.0500157096169,153.823484940962,1303460.0152514,1588283.65344609,3084.16328957432,4.81218435537242
"40",0,10258,23.8558573913574,180.290280151367,1286917.11743527,1534316.45233327,4300.97921233889,9.23581316794921
"41",0,64,19.774787902832,180.354290008545,1259159.42975176,1541984.73426344,3566.46783228483,4.15888308335967
"42",0,168,22.7690337498983,144.109583536784,1310832.72888205,1578171.39734762,3281.23597123282,5.12396397940326
"43",0,1269,23.493465423584,150.655130004883,1304677.49195779,1570461.11787868,3539.41108765526,7.14598446771439
"44",0,288,23.6401632097032,204.437037150065,1320187.6004739,1549190.89811685,4832.9249243357,5.66296048013595
"45",1,11476,24.0597558123,169.180936123462,1273110.32014386,1507066.12770426,4070.45201122683,9.34801317710126
"46",1,1569,19.6996446956288,180.658509687944,1251087.38926465,1534628.95928559,3558.9084520943,7.35819375273303
"47",0,4933,23.9681649208069,182.001050949097,1324642.66470737,1561583.32849455,4362.23120490813,8.50370260123374
"48",0,1,19.5652442311126,187.294343858166,1255427.76545858,1534615.83653572,3664.45958069101,0
